fecha,mes,anio,linea,tipo_pago,afluencia
2021-01-23,Enero,2021,Línea 4,Prepago,51840
2021-01-23,Enero,2021,Línea 4,Gratuidad,2128
2021-01-23,Enero,2021,Línea 5,Prepago,77634
2021-01-23,Enero,2021,Línea 5,Gratuidad,8498
2021-01-23,Enero,2021,Línea 6,Prepago,73624
2021-01-23,Enero,2021,Línea 6,Gratuidad,5450
2021-01-23,Enero,2021,Línea 7,Prepago,76436
2021-01-23,Enero,2021,Línea 7,Gratuidad,1017
2021-01-24,Enero,2021,Línea 1,Prepago,121941
2021-01-24,Enero,2021,Línea 1,Gratuidad,7168
2021-01-24,Enero,2021,Línea 2,Prepago,47733
2021-01-24,Enero,2021,Línea 2,Gratuidad,4153
2021-01-24,Enero,2021,Línea 3,Prepago,48017
2021-01-24,Enero,2021,Línea 3,Gratuidad,3946
2021-01-24,Enero,2021,Línea 4,Prepago,22857
2021-01-24,Enero,2021,Línea 4,Gratuidad,1504
2021-01-24,Enero,2021,Línea 5,Prepago,55275
2021-01-24,Enero,2021,Línea 5,Gratuidad,6715
2021-01-24,Enero,2021,Línea 6,Prepago,46406
2021-01-24,Enero,2021,Línea 6,Gratuidad,4143
2021-01-24,Enero,2021,Línea 7,Prepago,42915
2021-01-24,Enero,2021,Línea 7,Gratuidad,892
2021-01-25,Enero,2021,Línea 1,Prepago,285213
2021-01-25,Enero,2021,Línea 1,Gratuidad,12687
2021-01-25,Enero,2021,Línea 2,Prepago,99879
2021-01-25,Enero,2021,Línea 2,Gratuidad,6739
2021-01-25,Enero,2021,Línea 3,Prepago,101678
2021-01-25,Enero,2021,Línea 3,Gratuidad,6442
2021-01-25,Enero,2021,Línea 4,Prepago,44925
2021-01-25,Enero,2021,Línea 4,Gratuidad,2080
2021-01-25,Enero,2021,Línea 5,Prepago,90629
2021-01-25,Enero,2021,Línea 5,Gratuidad,10087
2021-01-25,Enero,2021,Línea 6,Prepago,94965
2021-01-25,Enero,2021,Línea 6,Gratuidad,7704
2021-01-25,Enero,2021,Línea 7,Prepago,88212
2021-01-25,Enero,2021,Línea 7,Gratuidad,1033
2021-01-26,Enero,2021,Línea 1,Prepago,273820
2021-01-26,Enero,2021,Línea 1,Gratuidad,12186
2021-01-26,Enero,2021,Línea 2,Prepago,100868
2021-01-26,Enero,2021,Línea 2,Gratuidad,6649
2021-01-26,Enero,2021,Línea 3,Prepago,101213
2021-01-26,Enero,2021,Línea 3,Gratuidad,6007
2021-01-26,Enero,2021,Línea 4,Prepago,43736
2021-01-26,Enero,2021,Línea 4,Gratuidad,1758
2021-01-26,Enero,2021,Línea 5,Prepago,93628
2021-01-26,Enero,2021,Línea 5,Gratuidad,9894
2021-01-26,Enero,2021,Línea 6,Prepago,92560
2021-01-26,Enero,2021,Línea 6,Gratuidad,7122
2021-01-26,Enero,2021,Línea 7,Prepago,91283
2021-01-26,Enero,2021,Línea 7,Gratuidad,1021
2021-01-27,Enero,2021,Línea 1,Prepago,275224
2021-01-27,Enero,2021,Línea 1,Gratuidad,13004
2021-01-27,Enero,2021,Línea 2,Prepago,98400
2021-01-27,Enero,2021,Línea 2,Gratuidad,6609
2021-01-27,Enero,2021,Línea 3,Prepago,104392
2021-01-27,Enero,2021,Línea 3,Gratuidad,5723
2021-01-27,Enero,2021,Línea 4,Prepago,43340
2021-01-27,Enero,2021,Línea 4,Gratuidad,1622
2021-01-27,Enero,2021,Línea 5,Prepago,94928
2021-01-27,Enero,2021,Línea 5,Gratuidad,9965
2021-01-27,Enero,2021,Línea 6,Prepago,91862
2021-01-27,Enero,2021,Línea 6,Gratuidad,7482
2021-01-27,Enero,2021,Línea 7,Prepago,89816
2021-01-27,Enero,2021,Línea 7,Gratuidad,1057
2021-01-28,Enero,2021,Línea 1,Prepago,278339
2021-01-28,Enero,2021,Línea 1,Gratuidad,12726
2021-01-28,Enero,2021,Línea 2,Prepago,100646
2021-01-28,Enero,2021,Línea 2,Gratuidad,6458
2021-01-28,Enero,2021,Línea 3,Prepago,103387
2021-01-28,Enero,2021,Línea 3,Gratuidad,5507
2021-01-28,Enero,2021,Línea 4,Prepago,40546
